12...
13...
14...
15...
16...
17...
18...
19...
20...
p=1.0
n,average,min,max,stdev,#
4095,89.12244897959184,78,109,7.14830425586961,98
8191,75.88775510204081,62,94,6.340643976955293,98
16383,77.76530612244898,62,94,4.309665522477615,98
32767,76.0,62,94,5.749047433423435,98
65535,76.84693877551021,62,94,4.786906628332946,98
131071,75.74489795918367,62,94,5.686502783522232,98
262143,75.90816326530613,62,79,5.48491226648228,98
524287,76.23469387755102,62,109,5.570172812674209,98
1048575,79.70408163265306,62,125,4.754182496472154,98

p=0.0
n,average,min,max,stdev,#
4095,59.36734693877551,46,78,6.362564086489127,98
8191,46.214285714285715,31,63,3.753349020005916,98
16383,46.224489795918366,31,63,4.222010593111818,98
32767,46.16326530612245,31,63,3.830678865170278,98
65535,45.98979591836735,31,63,4.41528483385918,98
131071,46.58163265306123,31,63,3.1880041566535517,98
262143,46.40816326530612,31,47,2.65484087974797,98
524287,45.59183673469388,31,62,4.312142373502791,98
1048575,43.857142857142854,31,47,6.167757867604894,98

