12...
load factor to avoid any rehash: 53.150673
13...
load factor to avoid any rehash: 27.072153
14...
load factor to avoid any rehash: 14.03528
15...
load factor to avoid any rehash: 7.5174413
16...
load factor to avoid any rehash: 4.258671
17...
load factor to avoid any rehash: 2.629323
18...
load factor to avoid any rehash: 1.8146584
19...
load factor to avoid any rehash: 1.4073284
20...
load factor to avoid any rehash: 1.2036641
p=1.0
n,average,min,max,stdev,#
4095,689.4591836734694,671,750,7.2654646545371495,98
8191,376.7448979591837,359,437,7.33345845260463,98
16383,220.9795918367347,218,250,5.507220362428315,98
32767,144.55102040816325,140,157,6.820409711942123,98
65535,105.84693877551021,93,125,6.64621749773063,98
131071,87.54081632653062,78,94,7.682042747215087,98
262143,78.45918367346938,78,94,2.2113501373219453,98
524287,76.22448979591837,62,94,5.654175744107678,98
1048575,74.75510204081633,62,94,7.137906973956847,98

p=0.0
n,average,min,max,stdev,#
4095,1358.408163265306,1343,1438,13.264040788346719,98
8191,682.4183673469388,671,782,9.184167763774228,98
16383,356.6326530612245,343,391,7.129708073869417,98
32767,192.26530612244898,187,204,7.2702628611537445,98
65535,114.36734693877551,109,140,7.281366920359671,98
131071,74.13265306122449,62,94,6.888864097861489,98
262143,54.37755102040816,46,63,7.879917454853709,98
524287,45.755102040816325,31,62,4.619682732199407,98
1048575,43.51020408163265,31,62,6.779661667742372,98

