12...
13...
14...
15...
16...
17...
18...
19...
20...
MAIN
n,average,min,max,stdev,#
4095,1116.0816326530612,1093,1391,13.229671018022655,98
8191,647.3163265306123,640,672,8.662749901217362,98
16383,421.57142857142856,406,500,7.5053245704111005,98
32767,332.81632653061223,328,344,7.164268351037716,98
65535,273.765306122449,265,297,8.481393851124967,98
131071,256.38775510204084,250,282,8.05091101083319,98
262143,280.0612244897959,265,453,11.766470208417628,98
524287,264.8673469387755,250,359,13.750829594543978,98
1048575,257.8265306122449,250,344,8.182235610872905,98

EXTENDED
n,average,min,max,stdev,#
4095,165.76530612244898,156,234,9.722755772013926,98
8191,162.9591836734694,156,188,7.7962697495118425,98
16383,164.20408163265307,156,188,7.902706287954759,98
32767,164.35714285714286,156,188,8.119278318445005,98
65535,155.62244897959184,140,172,4.923152342982637,98
131071,147.1734693877551,140,172,8.079534423409132,98
262143,127.57142857142857,125,156,6.262307469723987,98
524287,89.92857142857143,78,140,9.277230745717088,98
1048575,92.09183673469387,78,110,5.734839691076638,98

MODEST
n,average,min,max,stdev,#
4095,166.80612244897958,156,250,12.465753634480885,98
8191,165.4795918367347,156,235,8.105273314440936,98
16383,162.8469387755102,156,172,7.7504267136484595,98
32767,149.28571428571428,140,188,8.35056637377888,98
65535,131.19387755102042,125,157,7.6638906477806845,98
131071,118.46938775510205,109,156,8.67179820783292,98
262143,90.20408163265306,78,125,6.56444528741094,98
524287,89.76530612244898,78,125,7.889443580406394,98
1048575,93.55102040816327,78,110,3.552616137758153,98

NO REHASH
n,average,min,max,stdev,#
4095,644.3061224489796,640,718,7.008695870080588,98
8191,364.5612244897959,359,422,7.628036088512008,98
16383,230.41836734693877,218,297,7.516200330622974,98
32767,164.08163265306123,156,187,8.19312443629495,98
65535,131.05102040816325,125,172,7.648694314798359,98
131071,116.07142857142857,109,141,8.43195933009226,98
262143,91.09183673469387,78,125,6.410504804565577,98
524287,89.61224489795919,78,125,9.416625627444688,98
1048575,92.65306122448979,78,110,6.05660930764824,98

