12...
13...
14...
15...
16...
17...
18...
19...
20...
p=1.0
n,average,min,max,stdev,#
4095,1143.3265306122448,1125,1281,11.016178833274367,98
8191,673.9081632653061,656,703,7.909392478258451,98
16383,433.8673469387755,421,500,13.91701306611861,98
32767,308.03061224489795,296,359,8.664959749262737,98
65535,237.07142857142858,234,250,5.969423809594754,98
131071,194.3673469387755,187,219,8.120722829924343,98
262143,164.8469387755102,156,188,7.8298293497174924,98
524287,144.96938775510205,140,172,7.036655252821825,98
1048575,136.96938775510205,125,156,7.37990316706882,98

p=0.0
n,average,min,max,stdev,#
4095,2039.1020408163265,2016,2125,13.528503544859094,98
8191,1095.6734693877552,1078,1172,10.999320982045374,98
16383,615.6326530612245,594,734,12.391706367693482,98
32767,364.8775510204082,359,391,8.067071040829031,98
65535,245.85714285714286,234,266,7.914491471833927,98
131071,172.80612244897958,171,203,3.7899981319944955,98
262143,118.92857142857143,109,141,7.674096205894188,98
524287,79.86734693877551,78,94,4.902424721138898,98
1048575,62.41836734693877,46,63,0.4958273183724702,98

